,source_id,source_name,source_type,target_id,target_name,target_type,edge_value
0,source_node_0,S0,source_node,target_node,T0,target_node,1
1,source_node_1,S1,source_node,target_node,T0,target_node,1
2,source_node_2,S2,source_node,target_node,T0,target_node,1
3,source_node_3,S3,source_node,target_node,T0,target_node,1
4,source_node_4,S4,source_node,target_node,T0,target_node,1
5,source_node_5,S5,source_node,target_node,T0,target_node,1
6,source_node_6,S6,source_node,target_node,T0,target_node,1
7,source_node_7,S7,source_node,target_node,T0,target_node,1
8,source_node_8,S8,source_node,target_node,T0,target_node,1
9,source_node_9,S9,source_node,target_node,T0,target_node,1
